run.number,date_time.run,process.count,random.seed,human.count,zombie.count,min.x,min.y,max.x,max.y,proc.per.x,proc.per.y,grid.buffer,init.time,stop.at,run.time
,06.11.2015 23:56:39,4,1446872199,500;,5;,0,0,7,7,2,2,2,0.01,10,0.59
,07.11.2015 00:34:56,4,1446874496,500;,5;,0,0,7,7,2,2,2,0.01,10,0.54
